TransID	Tower	Name	DayNum	Date	Hour	HabitatType	Harvest	Temperature	OrthCaeS	OrthCaeM	OrthCaeL	OrthEnsS	OrthEnsM	OrthEnsL	OrthUnkS	OrthUnkM	OrthUnkL	LepS	LepM	LepL	ColS	ColM	ColL	DipS	DipM	DipL	AntS	AntM	AntL	OthS	OthM	OthL	Total
4	TossalRodo	AJ	43	13/06/2023	13:56	Wild	NA	24	7	1	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	8	0	0	1	0	0	28
5	TossalRodo	AJ	43	13/06/2023	14:01	Wild	NA	24	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	0	0	26
6	TossalRodo	AJ	43	13/06/2023	14:05	Wild	NA	24	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	42	0	0	7	0	0	66
1	ValldelsPous	AJ	43	13/06/2023	11:49	FieldLimit	Yes	23	2	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	52	0	0	10	0	0	68
2	ValldelsPous	AJ	43	13/06/2023	11:55	FieldLimit	Yes	23	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	11
3	ValldelsPous	AJ	43	13/06/2023	12:00	FieldLimit	Yes	23	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	33	0	0	6	0	0	42
4	ValldelsPous	AJ	43	13/06/2023	12:15	Wild	NA	24	11	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
5	ValldelsPous	AJ	43	13/06/2023	12:21	Wild	NA	24	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	14
6	ValldelsPous	AJ	43	13/06/2023	12:07	Wild	NA	24	33	3	0	1	0	0	9	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	49
1	OsBalaguer	AJ	51	21/06/2023	13:08	FieldLimit	Yes	27	4	5	3	0	1	0	2	2	0	0	0	0	2	1	0	0	0	0	2	0	0	2	0	0	24
2	OsBalaguer	AJ	51	21/06/2023	13:16	Wild	NA	27	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	2	0	0	4	0	0	12
3	OsBalaguer	AJ	51	21/06/2023	13:22	FieldLimit	Yes	27	4	1	2	0	0	0	2	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	14
4	OsBalaguer	AJ	51	21/06/2023	13:32	Wild	NA	27	7	2	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	4	0	0	18
5	OsBalaguer	AJ	51	21/06/2023	13:38	Wild	NA	27	3	0	1	0	0	0	5	3	0	0	0	0	2	0	0	6	0	0	2	0	0	2	0	0	24
6	OsBalaguer	AJ	51	21/06/2023	13:45	FieldLimit	No	27	4	2	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	1	0	0	3	0	0	16
1	Rabinat	AJ	51	21/06/2023	9:41	Wild	NA	24	12	2	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	71	0	0	5	0	1	96
2	Rabinat	AJ	51	21/06/2023	9:49	Wild	NA	24	11	8	0	0	1	0	2	2	0	0	0	0	1	0	0	3	0	0	4	0	0	3	0	3	38
3	Rabinat	AJ	51	21/06/2023	9:57	FieldLimit	No	24	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	36	0	0	1	0	0	47
4	Rabinat	AJ	51	21/06/2023	10:02	FieldLimit	No	25	4	1	0	0	0	0	4	2	0	0	0	0	2	0	0	1	0	0	76	0	0	0	0	0	90
5	Rabinat	AJ	51	21/06/2023	10:11	Wild	NA	25	3	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	12	0	0	5	0	0	25
6	Rabinat	AJ	51	21/06/2023	10:17	Wild	NA	25	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	4	0	0	11
1	TossalFonta	AJ	51	21/06/2023	10:54	FieldLimit	Yes	26	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	15	0	0	4	0	0	25
2	TossalFonta	AJ	51	21/06/2023	10:59	FieldLimit	Yes	26	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	14	0	0	2	0	0	22
3	TossalFonta	AJ	51	21/06/2023	11:07	FieldLimit	Yes	26	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	9	0	0	8	0	0	21
4	TossalFonta	AJ	51	21/06/2023	10:45	Wild	NA	26	15	6	0	0	0	0	2	4	0	0	0	0	2	0	0	2	0	0	1	0	0	4	0	1	37
5	TossalFonta	AJ	51	21/06/2023	10:35	Wild	NA	26	8	7	0	1	0	0	2	0	0	0	1	0	2	0	0	0	0	0	13	0	0	5	0	0	39
6	TossalFonta	AJ	51	21/06/2023	10:31	Wild	NA	25	3	2	0	0	0	0	2	2	0	0	1	0	3	0	0	0	0	0	113	0	0	5	0	1	132
1	RocaGuilla	AJ	52	22/06/2023	10:19	Wild	NA	23	8	2	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	19
2	RocaGuilla	AJ	52	22/06/2023	10:26	Wild	NA	23	16	3	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	50	0	0	6	0	0	78
3	RocaGuilla	AJ	52	22/06/2023	10:36	FieldLimit	No	23	5	1	1	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	17
4	RocaGuilla	AJ	52	22/06/2023	10:42	FieldLimit	No	24	5	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10
5	RocaGuilla	AJ	52	22/06/2023	10:48	Wild	NA	24	9	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	18
6	RocaGuilla	AJ	52	22/06/2023	10:54	FieldLimit	No	24	12	3	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	22
1	TossalFonta	AJ	68	08/07/2023	10:17	FieldLimit	No	18	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	2	0	0	65
